Action,Best_Score,Episode,Position_x,Position_y,Position_z,Reward
"[552.63764450540043, 694.68321622528163, 541.44721229380093, 350.10529015042994]",157.0985190730425,1,2.2557179999051735,-3.8088259481184443,0.0,156.00576920431592
"[552.72366333703201, 694.34956673226066, 539.30642861741717, 352.11922787117669]",157.0985190730425,2,2.258845471206241,-3.7837786526846524,0.0,155.7601672530565
"[553.22707279048052, 695.7503044903973, 542.32704349523317, 349.82674289699628]",157.36005573344252,3,2.2457182845368586,-3.8330097107158103,0.0,156.29202372391273
"[858.96830181184862, 869.40787289920843, 816.01155204472377, 207.71675850935699]",157.36005573344252,4,4.446455781347707,-3.8219186659885156,0.0,154.84527033930829
"[900.2009993163806, 900.2245024881928, 899.70664405368757, -0.075284046812676142]",280.63011188662585,5,23.82490798333793,2.9530617412323648,0.0,278.2838201615962
"[899.97585972701359, 898.83056959383748, 899.24491975566627, 0.49053985864820315]",302.44794593135634,6,10.557560540618589,6.2544988380509965,0.0,300.1778172811684
"[895.3591911952193, 899.2271781877522, 894.40472506400351, 852.98193739393525]",302.44794593135634,7,2.894240995437429,5.995168537349486,0.0,281.19883136835284
"[900.11612505501296, 900.39110982294073, 899.99016915272864, 900.03296449268942]",456.1773684526274,8,5.540646205345686,16.018594929133346,0.0,454.27261560324456
"[899.56265706594502, 900.27155615212348, 900.00718710019453, 899.91491370871131]",1217.0013071590329,9,1.2155764343264255,-2.6877963324389644,50.35028169193599,1217.0013071590329
"[899.7917634681811, 899.82917808238608, 900.18156568855125, 899.75885341388027]",1217.0013071590329,10,-0.2028182397543651,0.6725358053875382,50.190797122195576,1215.6086761399768
"[899.8491486437382, 899.81692991514274, 899.56975410840596, 899.55374940709294]",1286.067376422637,11,1.6001221427373045,-7.249499553183356,51.407093356123205,1286.067376422637
"[899.69778629714733, 900.27511478645272, 900.16349207324333, 899.71660580725165]",1286.9878805383275,12,0.5497493818290924,-6.421732712343932,51.52753310309939,1286.9878805383275
"[899.53550325607227, 899.71345447084229, 900.31163130363029, 900.07052842781434]",1287.7246884809897,13,1.2935618276659226,-5.5338728938207025,51.58910986403534,1287.7246884809897
"[900.35208933337105, 899.9210326854826, 900.06443233189759, 899.72750457185839]",1287.7246884809897,14,-1.0785034179571151,-6.390247508797473,51.48042396535878,1286.0715108886236
"[900.87076755867668, 900.64714919385005, 899.62017762577318, 899.79590179191644]",1287.7246884809897,15,0.35114921294460677,-1.2584561112149089,50.17696376977417,1215.5640192158646
"[899.65450062058608, 900.28280523383989, 899.8231355784078, 900.3493537369726]",1287.7246884809897,16,0.8499662653597034,-3.8445932394168865,50.20446505107102,1215.6409262372574
"[899.85078454422035, 900.6505069139331, 900.12580050574309, 899.67614602412925]",1287.7246884809897,17,2.7580109879282766,0.3585136104276093,50.39026661678067,1217.157978113561
"[900.1873973042043, 899.35740411467714, 899.8745041582772, 899.7748606616085]",1287.7246884809897,18,-0.3165881286159271,2.3814339239155817,50.54023990898724,1217.7274659880854
"[899.44866647290962, 900.65581536776642, 899.78823843990301, 900.24342524591373]",1287.7246884809897,19,1.6269830211516823,0.07693474582179817,50.29707653955538,1216.3514530828036
"[899.54540781195124, 900.05450493359501, 900.1314098594363, 899.77422337425526]",1287.7246884809897,20,-0.14721791602007864,-1.1545226281515224,50.22613899801262,1216.1487101930318
"[899.69877789071177, 900.07032552817964, 900.12814226438252, 900.35066128698713]",1287.7246884809897,21,-1.5970355862836256,-1.2462047319202831,50.25709023373513,1216.3308237730923
"[900.40148390705224, 900.06643861704686, 899.12212838081075, 900.2572903840645]",1287.7246884809897,22,0.06623778549022136,-0.30199238097881886,50.21687047560173,1216.2810040016075
"[900.18058089625765, 900.17885224407291, 900.37781828149684, 899.31703594758108]",1287.7246884809897,23,0.9950407828836659,-1.0962566484724265,50.264391883374216,1216.2899489970368
"[900.01347194301422, 899.93969112673494, 899.79187521144354, 899.81412519845048]",1287.7246884809897,24,-0.05199136093311652,-0.3549825896254616,50.21842275842781,1215.8529715668858
"[899.42692831685531, 899.41491472352197, 900.04358906845334, 899.97103988953347]",1287.9849855686505,25,-2.293996115829703,-4.9474375137280235,51.62383300471062,1287.9849855686505
"[899.63066071162666, 900.18156316337104, 900.54002899834552, 899.56573407558301]",1392.1085030283887,26,-1.0924684842604355,8.562669437116663,0.0,1390.837684289717
"[900.42426702964406, 900.25574312513709, 899.95963497937316, -0.51400481473174564]",1392.1085030283887,27,-1.5209589708261972,-15.092666471550274,0.0,615.5876495336639
"[899.88927753734583, 899.9772778655539, 900.06823121822811, 0.14246105514163893]",1392.1085030283887,28,-4.928239041035693,-10.713675603958384,0.0,361.9818035710147
"[899.7998290322746, 900.28400970054236, 899.33250273241458, -0.38622215525944359]",1392.1085030283887,29,7.293634397179093,-27.021342530522134,0.0,746.9729289698404
"[899.59502662199043, 900.25032640273514, 899.75314398503201, 0.014929381047079887]",1392.1085030283887,30,2.0407374258408275,-32.950745326049564,0.0,806.7439181186555
"[899.73029041297661, 900.23222848637397, 900.27496103567921, 0.91034316075521515]",1392.1085030283887,31,-9.81450650648628,-17.67564245355077,0.0,532.7706464676794
"[899.93441432630891, 900.04424520533382, 900.89982854380889, 899.34257697292526]",2660.054253685385,32,42.11656089643682,-40.227721995785274,9.041159250916731,2660.054253685385
"[899.05908905913122, 899.80572578546003, 873.02755335736776, 900.27916724329691]",2660.054253685385,33,33.35338247979241,-14.644431738684862,0.0,1032.998382693042
"[899.31759116755654, 899.92226309219575, 897.43369424787625, 899.86307354463861]",2660.054253685385,34,-1.0605888063863549,-0.8994546322789274,0.0,232.69221330485948
"[899.84198159177356, 900.0944624475037, 899.34652113215952, 899.81361889551465]",2660.054253685385,35,6.27876824634769,28.506226941095218,0.0,1941.554600455142
"[899.8819484200676, 900.00824450125447, 900.85715895855606, 900.26652682437611]",2660.054253685385,36,-7.458726123505491,2.753429744672363,0.0,450.9320144467227
"[900.53377237974246, 900.72446093186352, 899.37177993925468, 900.05768555186523]",2660.054253685385,37,-3.495581219254708,-13.657253672806188,0.0,959.4852336560523
"[899.83568283938018, 900.01283611232634, 898.92996511769161, 900.00368242006766]",3078.556831327936,38,-48.6504329421398,61.26169749996706,22.650276619406156,3078.556831327936
"[900.73211834073368, 900.01375235875628, 899.57375177402935, 900.27128288492008]",3078.556831327936,39,-27.756416753857646,-63.40221977210457,0.0,1944.7179405651746
"[900.13851088118417, 900.23096528479925, 899.90448640732222, 900.55017246728096]",3078.556831327936,40,-0.1485991856206132,-4.623825722564891,0.0,547.2590589657359
"[900.01467814312059, 899.96383432344044, 899.41850109289589, 899.52874470283132]",3172.9115316998987,41,2.67143710935919,-24.768813994105063,50.51887579325451,3172.9115316998987
"[899.45693155475067, 899.85861071492263, 900.28096870073398, 900.58386099311019]",3172.9115316998987,42,-2.4115198845474315,17.995369023087637,0.0,1002.5901242556974
"[900.09231420857429, 899.85507244009648, 899.92552518781577, -0.37801395743788013]",3172.9115316998987,43,0.2665594636681383,-0.6419136031255785,0.0,305.16685643917185
"[900.00017078906535, 900.17365844775588, 900.37672185403403, 899.57242788896235]",3172.9115316998987,44,1.780736458674962,-12.73791998083036,0.0,378.4179389070272
"[899.94317590398987, 899.51785746292433, 900.3240702988777, 900.61638215218886]",3172.9115316998987,45,1.1842535865095107,-5.780087227146102,0.0,841.2129870729427
"[899.58180972461275, 899.86368834173527, 899.82838797643569, 11.901485627761907]",3613.289665466382,46,47.78452008242703,-17.30769779878201,42.994266843448614,3613.289665466382
"[899.61547624800141, 900.30282405680521, 899.67049544042288, 899.70713290966762]",3613.289665466382,47,-14.481348668292846,-8.383700108247234,0.0,788.1267817594636
"[900.04631999193441, 899.78883353397521, 899.77934850459064, 900.44501801498598]",3613.289665466382,48,-32.490246639330024,16.446760189905465,36.33914909853309,1935.6209310160739
"[900.08637811467884, 900.19737868668869, 899.49237680984606, 901.18527184109848]",3613.289665466382,49,-7.463491354407349,2.6159008872541363,50.31568513180208,1735.7973767340195
"[900.04341619100921, 900.41616365419293, 899.72910204009872, 0.41795424083890742]",3613.289665466382,50,1.6517252988949873,-1.0638468355459625,50.81618471409143,1479.4330821982887
"[899.7237441042945, 899.60430301739348, 900.27520509482122, 893.03861773665062]",3613.289665466382,51,0.047389502510654935,-0.6520547171229211,0.0,196.64441432209435
"[900.47728426397475, 899.85773227557161, 899.82165509159972, 900.13132576715907]",3613.289665466382,52,14.207282703929264,17.594991843684923,0.0,1003.4800645545829
"[900.30266316076836, 899.87749969492063, 900.07374721815688, 900.45426026373377]",3613.289665466382,53,30.08322964904546,9.812287426328917,45.44025246363836,3487.8334182260205
"[899.84608347946505, 900.64107407786219, 900.37083173953374, 899.32896355328796]",3613.289665466382,54,-5.873113134225437,18.387500582030402,0.0,996.4029600492067
"[899.8489011761136, 899.61147431689801, 899.74175395488896, 899.92314803746342]",3613.289665466382,55,-22.39620911581856,-11.922218745981993,27.47385163036043,2445.8584870267186
"[899.75640193855156, 900.02747770093526, 899.94592580372171, 2.4601092367151005]",3613.289665466382,56,-3.1366859737175226,-2.657354968581758,50.21006274024504,1651.5392463298292
"[899.82406570162993, 899.51640286128224, 900.68196069112071, 899.89785660938855]",3613.289665466382,57,-61.200887690972706,-35.91603895892089,0.0,1035.0930804637642
"[899.51505013664109, 900.2461499374823, 900.24750254229298, 899.97514773210276]",3613.289665466382,58,0.22619553886286925,1.2523761882906237,50.39776626126223,1217.2003018139565
"[899.40598379252833, 900.36839461779232, 900.04433432911128, 900.16404659974978]",3613.289665466382,59,-0.732868291130813,-0.9395688645019504,50.24580430674058,1216.3884294510192
"[899.64791690640902, 899.58381710716083, 900.67525211202042, 900.59468125717922]",3613.289665466382,60,1.0067920440821743,-0.006584748335064671,50.22873244897406,1216.1258588351943
"[899.60814902646473, 899.85562487325706, 899.83326217345041, 870.15059064299442]",3613.289665466382,61,-0.7704466586043999,-2.1050886169480787,50.23578834901834,1216.1563909392742
"[899.84847631485104, 899.55184462036004, 900.71584543666165, 900.4822022412842]",3613.289665466382,62,1.3723968690376547,0.3020269999517834,51.02186586315398,1219.0041342624495
"[899.64177688993414, 901.12877743461877, 900.18745383011139, 900.06846412047116]",3613.289665466382,63,-5.768546940378142,4.6300211885406055,50.535944840719594,1903.9234780911872
"[899.73545335809558, 899.64256496281007, 900.44907075673154, 900.02547732889423]",3613.289665466382,64,-1.3462571843614455,-0.1546997772633098,50.23831897374765,1216.2228099153403
"[900.40063578498336, 900.38903039653997, 900.0622179386844, 899.54455496309993]",3613.289665466382,65,-2.079355470834549,-0.08248150102666606,50.19170365429788,1215.5081910402957
"[900.18227377091307, 900.35654132487389, 900.30675995901925, 899.30112270283553]",3613.289665466382,66,2.460922518587132,0.9954592255910321,50.29342108994928,1216.4296178787763
"[900.62656484768354, 900.36574673334121, 899.89421812297417, 900.70183848204113]",3613.289665466382,67,-2.1314259793655164,0.9942139407505781,50.19972681654665,1215.9461935045279
"[899.85680988221861, 900.6861230230553, 900.36367406474722, 900.0009288699132]",3613.289665466382,68,-0.3033572681445465,-2.189004011253289,50.23685720192499,1216.2834297133652
"[899.82604937513554, 900.73952967435719, 899.70322106028289, 0.16412590915939484]",3613.289665466382,69,1.35207354466413,-7.878304687011776,50.72391726760564,1604.492556057758
"[899.58743918222615, 899.5157097138507, 899.79002894505084, 900.08866689813101]",3613.289665466382,70,0.05102158921134376,-1.0019359278274895,50.25017080882026,1216.1855402341935
"[900.32807458904654, 900.12838886302654, 899.23211485253739, 899.89810389162585]",3613.289665466382,71,0.28512568175736663,-0.19956482320532817,50.222568751732865,1216.0716494041212
"[900.20634808526847, 900.35740296482493, 899.97823148121199, 900.70206832377994]",3613.289665466382,72,0.3880131120791534,0.9326121536110699,50.20461251952225,1216.0981745642273
"[899.46127487770593, 899.46766620335313, 900.3372625190641, 900.40162631775274]",3613.289665466382,73,1.0975079216491213,0.5513670250330733,50.23523636822659,1216.250116236555
"[900.04571756517691, 900.09871973968779, 900.30456554275315, 899.50007316325059]",3613.289665466382,74,1.0639563940979422,0.9356798286007519,50.27365876590607,1216.594121730537
"[899.39096573484392, 899.44901555981176, 899.80883871842184, 900.27937945149904]",3613.289665466382,75,-0.020537626017565477,-0.48978081068258783,50.23613916106271,1216.122074153371
"[900.0686683758239, 899.82394776342915, 899.87961680096225, 900.44035257716212]",3613.289665466382,76,0.23187958754576204,-0.13084270457893293,50.220938207449194,1216.1708763674767
"[900.40433209857963, 899.40733661754007, 899.9167511741357, 900.55076941064567]",3613.289665466382,77,-0.9104796887597093,-1.1481772980379044,50.21781017575409,1216.1709570965297
"[899.67844346351569, 899.93384118556526, 899.9779177166854, 899.73357785807775]",3613.289665466382,78,-45.837253936961574,-45.04228446023708,0.0,1931.4877749359339
"[899.25537282420669, 899.69775524821353, 899.79927092155879, 900.04295627939382]",3613.289665466382,79,-1.4366192757625833,2.2513480866727216,50.20401323091394,1215.5800980193821
"[899.78173362957648, 900.75535585568127, 900.71060612117981, 900.16307550428508]",3613.289665466382,80,10.229086394173663,-2.680001063333128,0.0,398.2547098131801
"[900.42584021940854, 899.64086050978642, 899.57735963683706, 900.42903602465526]",3613.289665466382,81,0.6185902068547197,0.7841010495887232,50.214573121785556,1216.0893838652707
"[899.79118696194359, 900.51238836969026, 899.89650376347083, 900.06910182858564]",3613.289665466382,82,54.04482536446736,-11.656906733180522,0.0,2276.468988865865
"[900.83370364343853, 899.89870906441877, 900.34181480845723, 899.6951629054804]",3613.289665466382,83,-0.37880804851144906,4.085920561044898,50.089191554139205,1341.9844931932384
"[899.65119183176591, 900.44991569207536, 899.49343315084968, 899.80887555228026]",3613.289665466382,84,1.5990631571985587,-5.085142205373314,51.27573299179939,1291.0036541788481
"[900.08008346189365, 900.45286510457652, 900.58533786146347, 899.96168088470381]",3613.289665466382,85,0.48628050108926163,1.1864774411094352,50.2418643121776,1216.253562432703
"[899.75540252150688, 900.68911135328119, 900.21885206029253, 900.06466691699063]",3613.289665466382,86,-1.0680873661454369,0.7573797373534488,50.25117322484762,1216.1539185734523
"[899.84644552982581, 900.26832879817334, 900.11842718397554, 900.43349432462969]",3613.289665466382,87,-0.45647603940912646,-1.2245321548436823,50.22866209021342,1216.0656560283692
"[899.92757292002887, 900.52825985543814, 900.44941138496904, 899.14553761625916]",3613.289665466382,88,1.9773424026635804,0.32375137758678313,50.19298739379695,1216.0122938128652
"[900.22560853168397, 900.28696474168498, 899.88219105421899, 899.70323923324634]",3613.289665466382,89,-0.17413073454574637,-0.6233982453104975,50.212043083025904,1216.0991408798466
"[899.56394426465329, 900.07919109767283, 900.12269030265213, 899.69234570899198]",3613.289665466382,90,0.4568065048535467,-4.322947780208615,50.18847651365078,1215.9320167375126
"[899.92313301578952, 900.30797397426682, 900.28830240647642, 900.35392152555846]",3613.289665466382,91,-0.8655088597645978,-1.8400895446793155,50.21435251011971,1215.8806487561358
"[900.07085646799339, 900.01144893912431, 900.12671854100347, 900.16791153893644]",3613.289665466382,92,-0.24278551635212844,-0.6480146589621499,50.207670914200826,1215.95070945936
"[899.6519634298387, 899.87522902373064, 899.60935474071027, 899.55044718922079]",3613.289665466382,93,-1.5771272849219489,-0.2769746341575299,50.24147458703497,1216.2505610630437
"[899.69374928151387, 900.14877780818279, 899.33465179253812, 900.6912144435596]",3613.289665466382,94,0.6603418767422079,-0.03612995258839446,50.18788112603741,1215.7129257254908
"[899.75670926947862, 900.79626885528501, 900.41098711758855, 900.29317910982684]",3613.289665466382,95,0.6726086332578614,-2.5845517964862488,50.26616829845688,1216.4596406114135
"[899.78973022484604, 899.93552810722224, 899.93689571715879, 900.11884070448525]",3613.289665466382,96,1.8569141077051887,2.5168455220983668,50.40774199130884,1217.1531361595535
"[899.67038004581343, 900.50638690818607, 900.00660289591315, 900.44067858675055]",3613.289665466382,97,-2.256414249436325,-0.038740809474687325,50.20986062448981,1216.0618388755524
"[900.55074651829023, 899.25429929203506, 900.09928991186109, 900.53400622019387]",3613.289665466382,98,0.586023491992048,-0.106900173422935,50.21839643944269,1216.2119710643892
"[899.9028773409276, 900.83008625661046, 899.74770442170029, 900.04118701463108]",3613.289665466382,99,-4.545548497071857,-0.11698157359878124,50.13906289724328,1215.4753743631957
"[900.21208698258772, 900.30669699609371, 900.07621585934544, 899.76857198819926]",3613.289665466382,100,1.2963950745793562,-0.7148295371402268,50.258351041947925,1216.2322097699332
"[899.60557927434877, 900.05986279240733, 900.02613574802228, 899.83271345935975]",3613.289665466382,101,1.5781392674740125,-2.286903010547095,50.28080360508876,1216.3456565830638
"[899.73289455486542, 899.77576400755925, 899.74588051262276, 899.66047153692546]",3613.289665466382,102,-0.8075142708021008,-1.4580328987370492,50.229360210531404,1216.14079610981
"[899.73181877574962, 900.15585292222784, 899.8099984041753, 900.07748239725083]",3613.289665466382,103,0.9863186778496656,-1.375977122071236,50.25057297822058,1216.151063827172
"[900.07803529728903, 900.31665032697254, 899.97544952175781, 900.27798886364872]",3613.289665466382,104,0.46552008996035754,0.9351512590823189,50.219933510135355,1216.2049522038792
"[900.33529900058852, 899.74788240103408, 899.41026454025018, 900.06963796893115]",3613.289665466382,105,-0.7196092831096568,-0.380341028786145,50.2193961780136,1216.0443937018972
"[899.96361162387541, 900.39557668977704, 899.58593703778445, 899.52602987285479]",3613.289665466382,106,-3.613732034461194,1.1547914683862426,50.202643841611696,1215.96280711231
"[900.05664080916995, 899.9161549858942, 899.86935910210673, 899.97044764325608]",3613.289665466382,107,-0.22091974293178152,-1.2653161827186283,50.28456128629553,1216.6215160553063
"[900.72586876769276, 900.50477946617514, 899.82519495315944, 900.01534925166345]",3613.289665466382,108,0.026226775216538455,-0.7605726492714748,50.23771191721848,1216.6458261826501
"[900.1117359993948, 900.7393435673888, 900.32555174134109, 900.28589421558365]",3613.289665466382,109,-0.7364764759224224,-0.3211046523834484,50.20058806119117,1215.939062650624
"[900.57080409856565, 899.62310132008224, 899.99970949595786, 900.46411471738077]",3613.289665466382,110,0.6490355564387013,-0.17222316252221434,50.21764013407463,1215.9044859906699
